location,long,lat,grocery,leisure,happy,rank_grocery,rank_leisure,rank_happy
종로구,126.9753,37.58847,1190,165,176.9,25,1,1
중구,126.9977,37.55536,3621,86,122.21,1,3,2
용산구,126.976,37.52511,2312,96,119.12,15,2,3
강남구,127.0502,37.50096,2516,77,102.16,4,4,4
서초구,127.0109,37.49018,2276,39,61.76,19,5,5
마포구,126.9021,37.561,2380,36,59.8,10,6,6
동대문구,127.0572,37.58108,2312,31,54.12,16,7,7
송파구,127.1109,37.5058,2380,29,52.8,11,8,8
은평구,126.9308,37.62369,2380,29,52.8,12,9,9
광진구,127.0837,37.5524,2448,26,50.48,6,10,10
영등포구,126.9107,37.51487,3111,19,50.11,2,16,11
성동구,127.0432,37.55242,2380,25,48.8,13,11,12
성북구,127.0103,37.60595,2243,25,47.43,20,12,13
구로구,126.8465,37.4955,2312,23,46.12,17,13,14
관악구,126.948,37.46015,3077,15,45.77,3,21,15
노원구,127.0767,37.64959,2210,20,42.1,22,14,16
강북구,127.0072,37.64086,2227,19,41.27,21,17,17
서대문구,126.9355,37.5713,2448,16,40.48,7,19,18
강동구,127.1464,37.55088,2431,16,40.31,9,20,19
양천구,126.8585,37.5175,2312,14,37.12,18,22,20
중랑구,127.0912,37.5988,2380,13,36.8,14,23,21
도봉구,127.0347,37.67301,2448,12,36.48,8,24,22
금천구,126.8992,37.45989,1564,20,35.64,23,15,23
동작구,126.9532,37.49837,1224,9,21.24,24,25,24
강서구,126.8353,37.56058,2516,16,14.16,5,18,25
