가구별 일련번호,가구구분,가구원수,취업인원수,노인가구,모자가구,맞벌이가구,일반가구,세대구분,배우자유무,가구주_가구주와의 관계,가구주_성별,가구주_연령,가구주_학력,가구주_취업여부,가구주_산업코드,가구주_직업코드,가구주_종사상지위,취업배우자,학업배우자,기타배우자,취업자녀수,학업자녀수,기타자녀수,거처구분,자동차 보유댓수(휘발유+경우+LPG),입주형태,월세평가액,전세보증금,월세,주거용 전용면적,주택소유구분,가중치(weight),소득10분위코드(전국_전체가구),소득10분위코드(전국_근로자가구),소득10분위코드(전국_근로자외가구),소득10분위코드(도시_전체가구l),소득10분위코드(도시_근로자가구),소득10분위코드(도시_근로자외가구),소득구간,가계지출,소비지출,01. 식료품 · 비주류음료,곡물,곡물가공품,빵 및 떡류,육류,육류가공품,신선수산동물,염건수산동물,기타수산동물가공,유제품 및 알,유지류,과일 및 과일가공품,채소 및 채소가공품,해조 및 해조가공품,당류 및 과자류,조미식품,기타식품,커피 및 차,쥬스 및 기타음료,02. 주류 · 담배,주류,담배,03. 의류 · 신발,직물 및 외의,내의,기타의복,의복관련서비스,신발,신발서비스,04. 주거 · 수도 · 광열,실제주거비,주택유지 및 수선,상하수도 및 폐기물처리,기타주거관련서비스,연료비,05. 가정용품 · 가사서비스,가구 및 조명,실내장식,가구·조명 및 장식서비스,가정용 섬유,가전 및 가정용기기,가전관련서비스,가사용품,가정용공구 및 기타,가사소모품,가사서비스,06. 보건,의약품,의료용소모품,보건의료용품 및 기구,외래의료서비스,치과서비스,기타의료서비스,입원서비스,07. 교통,자동차구입,기타운송기구구입,운송기구유지 및 수리,운송기구 연료비,기타개인교통서비스,철도운송,육상운송,기타운송,기타교통관련서비스,08. 통신,우편서비스,통신장비,통신서비스,09. 오락·문화,영상음향기기,사진광학장비,정보처리장치,기록매체,영상음향 및 정보기기수리,오락문화 내구재,악기기구,오락문화내구재 유지 및 수리,장난감 및 취미용품,캠핑 및 운동관련용품,화훼관련용품,애완동물관련물품,화훼 및 애완동물서비스,운동 및 오락서비스,문화서비스,복권,서적,기타인쇄물,문구,단체여행비,10. 교육,정규교육,초등교육,중등교육,고등교육,학원 및 보습교육,학생학원교육,성인학원교육,기타교육,11. 음식·숙박,식사비,숙박비,12. 기타 상품 및 서비스,이미용서비스,이미용 기기,위생 및 이미용용품,시계 및 장신구,기타개인용품,복지시설,보험,기타금융,기타서비스,비소비지출,경상조세,비경상조세,연금 기여금,사회보험,이자비용,가구간 이전지출,비영리단체로 이전,도시/읍면부 구분,연차구분,engel,freetime,happy,years,,,
6,2,1,1,0,0,0,1,1,3,1,1,30,8,1,J,2,5,0,0,0,0,0,0,1,0,6,400,10000,350,41,2,5157.2182,1,,1,1,,1,1,1281308,1180308,163525,5667,11592,11092,12400,3880,0,0,0,6717,1733,2762,11953,0,20310,4497,29672,10467,30785,11847,11847,0,8177,7177,0,0,0,1000,0,409643,350000,7225,15082,0,37337,129128,18987,0,0,583,81853,0,4917,4200,18588,0,9933,4867,0,1483,0,3583,0,0,124507,0,0,0,0,0,28900,77440,17333,833,69847,0,0,69847,93977,0,0,0,4650,0,0,0,0,0,0,2333,33230,0,30247,1450,0,11975,333,9758,0,0,0,0,0,0,0,0,0,0,139950,139950,0,19775,5200,0,4050,0,9500,0,0,500,525,101000,1000,0,0,0,0,100000,0,1,2,13.9,8,57.5,2,,3,1
20,2,1,1,0,0,0,1,1,3,1,1,59,6,1,J,2,5,0,0,0,0,0,0,1,0,6,625,15000,550,49,2,4255.7798,4,,5,3,,5,3,1478877,1264776,244455,34633,8418,16942,4083,10655,0,0,1417,4673,0,1942,2433,0,47335,3167,56102,37317,15338,128400,0,128400,31433,20000,0,0,0,11433,0,599195,550000,0,6087,0,43108,27378,7267,0,0,4483,0,0,4390,4850,6388,0,5038,417,0,0,4622,0,0,0,33692,0,0,0,0,0,0,7833,25858,0,38801,0,0,38801,75883,0,0,33333,0,0,0,0,0,0,0,0,0,0,0,9667,0,32000,0,883,0,0,0,0,0,0,0,0,0,0,69500,69500,0,11000,5667,0,4333,0,167,0,0,833,0,214102,50122,0,76500,52480,0,33333,1667,1,6,19.3,6,31,6,,2,3
22,1,2,1,0,0,0,1,1,3,1,1,33,6,1,J,2,2,0,0,0,0,0,0,2,0,4,400,120000,0,34,2,1575.5132,3,2,,3,2,,3,891894,766924,137758,1045,3257.5,7507.5,9501,2552.5,6650,0,0,11675,1997.5,13087,21940,2902.5,14045,9027.5,7370,19945,5255,0,0,0,83262.5,47862.5,14472.5,20927.5,0,0,0,43590.5,0,0,4712.5,26695.5,12183,39655,0,0,0,0,6297.5,13500,9002.5,500,10355,0,28120,9642.5,7345,11132.5,0,0,0,0,75962.5,0,0,0,0,0,0,0,75962.5,0,68050,0,2200,65850,21525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221325,221325,0,47675.5,0,0,38545,0,9075,0,55.5,0,0,124970,11795,0,46485,66690,0,0,0,1,2,18,2.8,15.6,2,,1,1
45,1,1,1,0,0,0,1,1,3,1,1,27,6,1,J,2,1,0,0,0,0,0,0,2,0,4,225,75000,0,17,2,1862.5508,3,2,,3,2,,3,1560439,777969,56015,0,1875,10500,0,0,0,0,0,1600,0,0,0,0,27750,0,2750,7745,3795,0,0,0,32750,0,0,0,0,32750,0,82705,0,0,3745,43600,35360,24900,0,0,0,0,0,24900,0,0,0,0,75000,0,0,0,75000,0,0,0,104900,0,0,0,17000,1575,65625,20700,0,0,60000,0,0,60000,36050,0,8250,0,0,0,0,0,0,0,0,0,0,0,6650,7000,0,8000,0,6150,0,0,0,0,0,0,0,0,0,0,254500,177000,77500,51149,0,0,43450,0,0,0,7699,0,0,782470,2350,0,96340,88780,0,570000,25000,1,1,7.2,4.6,64.4,1,,1,1
58,1,2,2,0,0,1,0,1,1,1,1,42,8,1,J,2,1,0,0,0,0,0,0,2,1,1,2300,0,0,84,1,4050.4953,10,10,,10,10,,8,6822189,4216641.5,71118.5,165,3399,5892.5,14851,4093.5,3944,3249,2355,1902.5,508.5,8079,5476,333.5,1483.5,1075,11842.5,83.5,2386,166514,53431,113083.5,158781,139949,0,2915,0,15916.5,0,71129,0,0,4327.5,41887.5,24914,51303.5,7483.5,7374,0,1466,13583.5,0,14725,4023.5,2648.5,0,19675,583.5,0,0,2816.5,16275,0,0,2731819.5,2594166.5,0,816.5,56836.5,12500,0,0,67166.5,333.5,78708.5,0,0,78708.5,272453.5,109500,0,0,0,0,0,0,0,0,1750,0,0,0,148833.5,12212,0,0,0,158.5,0,3750,0,0,0,0,3750,0,3750,0,537963.5,504380,33583.5,53425.5,11166.5,0,6457.5,0,26666.5,0,7468,1666.5,0,2605547.5,823425,118678.5,218700,305736.5,583566,416666.5,138775,1,4,1.7,6.5,383.1,4,,2,1
75,1,3,1,0,0,0,1,2,1,1,1,37,6,1,J,2,1,0,0,0,0,0,0,2,1,1,1200,0,0,55,1,1545.7011,6,5,,6,5,,5,1629536.667,1280680,106495,0,5643.333333,28280,10191.66667,3898.333333,6916.666667,1333.333333,2670,3481.666667,0,9530,8705,0,11623.33333,2251.666667,3513.333333,983.3333333,7473.333333,1038.333333,1038.333333,0,20848.33333,9100,0,5250,0,6498.333333,0,58613.33333,0,983.3333333,4281.666667,31628.33333,21720,370425,0,1316.666667,0,0,331500,0,34000,0,3608.333333,0,156348.3333,31283.33333,0,15181.66667,96266.66667,13616.66667,0,0,115583.3333,0,0,0,63333.33333,333.3333333,0,10000,41916.66667,0,49249.33333,0,12469.33333,36780,42766.66667,0,3333.333333,3216.666667,0,0,0,0,0,11500,0,0,0,0,6133.333333,12000,0,4916.666667,0,1666.666667,0,130000,0,0,0,0,130000,130000,0,0,181570,181570,0,47742.33333,7500,0,22145,0,666.6666667,0,17430.66667,0,0,348856.6667,100186.6667,0,61003.33333,59758.33333,100000,25000,2908.333333,1,3,8.3,3.3,40.2,3,,1,2
90,1,4,1,0,0,0,1,2,1,1,1,43,6,1,J,2,1,0,0,0,0,0,0,2,1,4,1836,600000,0,109,2,9915.6186,10,9,,9,9,,8,2942853.5,2306883.25,139388.75,9862.5,4501.5,21391,12490.75,10542,531,1875,2956,8092.25,904,16521.25,2876.25,2028.5,12017,2013.5,21332,958.75,8496,1250,1250,0,355354.75,278888.75,13902.25,30569,2709.5,29285.25,0,91692.75,0,4800,11817,37377,37699,260250,17903.25,1612.5,0,11386.5,199479.75,1531.25,4856.25,10595.75,12885,0,213251.5,36593.75,4718.75,40044.5,63034.5,55037.5,0,13822.75,77752.25,0,0,2150,33906.25,11334.5,7315.75,1343.75,20312.5,1389.75,107861.25,0,66445.75,41415.5,101829.25,556.25,0,1188.25,618.75,0,0,0,0,26272.75,712.25,8047,0,0,2697,28028.25,0,19684.75,0,14024.5,0,467467.75,0,0,0,0,458718.75,458718.75,0,8749,274677.25,248114.75,26562.5,216107.75,101329.75,1843.75,34999.75,3958.5,38762.5,0,31816.75,0,3397,635970.25,213307.25,3932.75,53156.25,68345,0,78437.5,218791.5,1,4,6,4.4,73.1,4,,,
94,1,1,1,0,0,0,1,1,2,1,1,44,7,1,J,2,1,1,0,0,0,0,1,4,2,3,680,30000,580,35,1,988.1805,6,5,,6,5,,5,45443115,43943105,11800,0,0,0,0,0,0,0,0,0,0,0,0,0,11800,0,0,0,0,40500,0,40500,47500,0,0,47500,0,0,0,723900,580000,0,5700,50000,88200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42467076,42055376,0,0,250000,0,106200,55500,0,0,15789,0,0,15789,104860,0,0,0,0,0,0,0,0,0,23460,0,0,0,75000,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168700,168700,0,362980,0,0,12000,0,0,0,350980,0,0,1500010,485820,0,157500,156690,0,700000,0,1,5,0,0.2,888.6,5,,,
135,1,2,2,0,0,1,0,1,1,1,2,26,6,1,J,2,1,0,0,0,0,0,0,1,0,4,750,50000,0,24,2,6507.8432,9,9,,9,9,,8,2501015,1941523.5,118991.5,14722,4049.5,12575.5,1400,3223,1778.5,1421.5,778.5,11823.5,720.5,14805,2888.5,0,22883.5,451.5,11470,2480.5,11519.5,14860.5,14860.5,0,368663,88688.5,0,29087,209143,41744.5,0,41482,0,384.5,10219.5,10000,20878.5,23090.5,0,0,0,7655,0,0,3035.5,285.5,12114.5,0,58669.5,36765.5,9010.5,0,11957,935.5,0,0,255777.5,0,0,0,4223,17321.5,30118,21094,182685.5,335.5,86641.5,0,0,86641.5,116017,0,5803,19585.5,0,0,0,0,0,0,3528,3571.5,0,0,15914.5,66007.5,785.5,678.5,0,143,0,0,0,0,0,0,0,0,0,0,615475.5,473564.5,141911,241855.5,11535.5,0,76521.5,27840,12428.5,0,17101,0,96428.5,559491.5,176981.5,0,140600,157153,26757,54714.5,3285.5,1,1,6.1,6,97.5,1,,,
158,2,2,2,0,0,1,0,1,1,1,1,47,6,1,J,2,5,0,0,0,0,0,0,4,1,1,840,0,0,56,1,3660.4283,9,,9,9,,9,7,1580529,845526.5,66497.5,0,4064,8795,0,191.5,0,0,514,6141,0,14137.5,1616.5,1267.5,16997.5,250,9419,2457.5,646,4166.5,4166.5,0,20041.5,14108.5,0,0,0,5933.5,0,24561,0,0,4484,5416.5,14660,5681.5,0,0,0,0,0,0,1121.5,3608.5,951.5,0,14822.5,11439,841.5,0,1450,1091.5,0,0,123184,0,0,0,55333.5,34867.5,0,925,32058.5,0,45139,189,13316.5,31633,129315,107333.5,0,0,0,0,0,0,0,0,5500,0,0,0,0,16481.5,0,0,0,0,0,54205,0,0,0,0,54205,0,54205,0,255103.5,246770,8333.5,102809.5,3500,0,19483.5,4348.5,28166.5,0,33111,0,14200,735003,134287.5,0,149646.5,188096,9616,235416.5,17940,1,5,7.9,15.3,194.5,5,,,
