가구별 일련번호,가구구분,가구원수,취업인원수,노인가구,모자가구,맞벌이가구,일반가구,세대구분,배우자유무,가구주_가구주와의 관계,가구주_성별,가구주_연령,가구주_학력,가구주_취업여부,가구주_산업코드,가구주_직업코드,가구주_종사상지위,취업배우자,학업배우자,기타배우자,취업자녀수,학업자녀수,기타자녀수,거처구분,자동차 보유댓수,입주형태,월세평가액,전세보증금,월세,주거용 전용면적,주택소유구분,소득10분위,소득구간,가계지출,소비지출,food,sigar,cloth,life,household,health,traffic,telecom,culture,edu,lodge,service,insurance,도시/읍면부 구분,연차구분,engel,freetime,happy,years
6,2,1,1,0,0,0,1,1,3,1,1,30,8,1,J,2,5,0,0,0,0,0,0,1,0,6,400,10000,350,41,2,1,1,1281308,1180308,163525,11847,8177,409643,129128,9933,124507,69847,93977,0,139950,19775,0,1,2,13.9,8,57.5,2
20,2,1,1,0,0,0,1,1,3,1,1,59,6,1,J,2,5,0,0,0,0,0,0,1,0,6,625,15000,550,49,2,4,3,1478877,1264776,244455,128400,31433,599195,27378,5038,33692,38801,75883,0,69500,11000,0,1,6,19.3,6,31,6
22,1,2,1,0,0,0,1,1,3,1,1,33,6,1,J,2,2,0,0,0,0,0,0,2,0,4,400,120000,0,34,2,3,3,891894,766924,137758,0,83262.5,43590.5,39655,28120,75962.5,68050,21525,0,221325,47675.5,55.5,1,2,18,2.8,15.6,2
45,1,1,1,0,0,0,1,1,3,1,1,27,6,1,J,2,1,0,0,0,0,0,0,2,0,4,225,75000,0,17,2,3,3,1560439,777969,56015,0,32750,82705,24900,75000,104900,60000,36050,0,254500,51149,7699,1,1,7.2,4.6,64.4,1
58,1,2,2,0,0,1,0,1,1,1,1,42,8,1,J,2,1,0,0,0,0,0,0,2,1,1,2300,0,0,84,1,10,8,6822189,4216641.5,71118.5,166514,158781,71129,51303.5,19675,2731819.5,78708.5,272453.5,3750,537963.5,53425.5,7468,1,4,1.7,6.5,383.1,4
75,1,3,1,0,0,0,1,2,1,1,1,37,6,1,J,2,1,0,0,0,0,0,0,2,1,1,1200,0,0,55,1,6,5,1629536.667,1280680,106495,1038.333333,20848.33333,58613.33333,370425,156348.3333,115583.3333,49249.33333,42766.66667,130000,181570,47742.33333,17430.66667,1,3,8.3,3.3,40.2,3
90,1,4,1,0,0,0,1,2,1,1,1,43,6,1,J,2,1,0,0,0,0,0,0,2,1,4,1836,600000,0,109,2,10,8,2942853.5,2306883.25,139388.75,1250,355354.75,91692.75,260250,213251.5,77752.25,107861.25,101829.25,467467.75,274677.25,216107.75,31816.75,1,4,6,4.4,73.1,4
94,1,1,1,0,0,0,1,1,2,1,1,44,7,1,J,2,1,1,0,0,0,0,1,4,2,3,680,30000,580,35,1,6,5,45443115,43943105,11800,40500,47500,723900,0,0,42467076,15789,104860,0,168700,362980,350980,1,5,0,0.2,888.6,5
135,1,2,2,0,0,1,0,1,1,1,2,26,6,1,J,2,1,0,0,0,0,0,0,1,0,4,750,50000,0,24,2,9,8,2501015,1941523.5,118991.5,14860.5,368663,41482,23090.5,58669.5,255777.5,86641.5,116017,0,615475.5,241855.5,17101,1,1,6.1,6,97.5,1
158,2,2,2,0,0,1,0,1,1,1,1,47,6,1,J,2,5,0,0,0,0,0,0,4,1,1,840,0,0,56,1,9,7,1580529,845526.5,66497.5,4166.5,20041.5,24561,5681.5,14822.5,123184,45139,129315,54205,255103.5,102809.5,33111,1,5,7.9,15.3,194.5,5
159,2,2,2,0,0,1,0,1,1,1,1,32,6,1,J,5,5,0,0,0,0,0,0,4,1,1,840,0,0,60,1,4,3,2095860.5,1670368.5,70010,7158.5,517750,49983.5,57456.5,85966.5,45841.5,124314,425501,0,159716.5,126670,19370.5,1,2,4.2,25.5,607.8,2
231,2,3,2,0,0,1,0,2,1,1,1,48,6,1,J,2,5,0,0,0,0,0,0,2,1,1,3400,0,0,84,1,7,5,1524676.333,1110603.333,202776.6667,0,27886.66667,88069,9747,66034,91494.33333,73716.33333,60567.33333,339444.3333,85613.33333,65254,36438.66667,1,5,18.3,5.5,29.9,5
232,1,4,2,0,0,1,0,2,1,1,1,49,6,1,J,2,1,0,0,0,0,0,0,2,1,1,3400,0,0,84,1,10,8,2276728.5,1569174.75,98364,1550,62975,72521.25,887.5,11450,88992.5,36102.5,41111.25,791675,295720,67825.75,31856.5,1,6,6.3,2.6,41.8,6
233,1,2,2,0,0,0,1,1,3,1,2,35,6,1,J,3,1,0,0,0,0,0,0,2,1,4,3400,850000,0,84,1,10,8,3967627,2711091.5,167565,97655.5,499128,147759.5,68792,54215.5,296478.5,79257,438408,42857,497370,321605,51075.5,1,3,6.2,16.2,261.6,3
234,1,2,1,0,0,0,1,2,3,1,1,37,7,1,J,2,1,0,0,0,0,0,0,2,0,1,1800,0,0,59,1,6,4,1542161.5,1116087.5,189891.5,75000,105549,111195,19511.5,148812.5,52756.5,39055,48516.5,0,281725,44076.5,12979,1,3,17,4.3,25.5,3
248,1,1,1,0,0,0,1,1,3,1,2,29,7,1,J,3,1,0,0,0,0,0,0,1,0,6,460,6000,440,23,2,4,3,1820023,1590238,230469,66450,40902,530082,6917,156577,177903,44833,42423,0,244810,48873,0,1,2,14.5,2.7,18.4,2
252,1,1,1,0,0,0,1,1,3,1,1,39,4,1,J,3,1,0,0,0,0,0,0,1,1,6,593,1000,590,23,1,3,2,4050249,2822912,92684,800,69052,680206,55500,236800,287890,112293,82844,0,592745,612099,75210,1,4,3.3,2.9,89.4,4
258,1,1,1,0,0,0,1,1,3,1,2,36,6,1,J,2,1,0,0,0,0,0,0,1,0,6,390,90000,120,40,2,5,4,2117050,1575830,235158,1125,265965,160338,27750,62143,67500,69340,78530,0,380175,227807,12784,1,3,14.9,5,33.4,3
259,1,1,1,0,0,0,1,1,3,1,2,28,6,1,J,3,1,0,0,0,0,0,0,1,0,6,440,90000,170,50,2,4,3,2088328,1829098,224313,0,168475,213013,49463,130358,254725,35428,7375,288375,272000,185575,16820,1,1,12.3,0.4,3.3,1
264,1,1,1,0,0,0,1,1,3,1,1,29,6,1,J,3,1,0,0,0,0,0,0,1,1,6,600,10000,500,30,2,4,3,2539845,2153761,49596,66992,303560,547204,7644,158320,230600,84848,123920,0,512568,68509,17549,1,2,2.3,5.8,249.9,2
275,1,4,2,0,0,0,1,2,1,1,1,53,8,1,J,1,1,0,0,0,0,0,0,2,1,6,3500,750000,900,169,1,10,8,4128447.25,3919447.25,170060.5,2916.75,188393.25,1308532.5,911890.75,159390,170679.25,31762.25,360858.25,265000,260991.75,88972,19256.25,1,6,4.3,9.2,212.2,6
297,1,2,1,0,0,0,1,1,3,1,1,34,6,1,J,2,1,0,0,0,0,0,0,2,0,1,1200,0,0,59,1,6,4,1489027,1276364.5,60760,15750,11375,69042.5,19725,24875,298365,258067.5,232015,0,238650,47739.5,134.5,1,3,4.8,18.2,381.9,3
300,1,3,2,0,0,1,0,2,1,1,1,46,6,1,J,2,1,0,0,0,0,0,0,2,1,4,1200,350000,0,88,2,9,8,1486064.333,873047.6667,125083.3333,0,0,100863.3333,9300,140366.6667,85516.66667,45996.66667,34716.66667,0,273833.3333,57371,45837.66667,1,5,14.3,4,27.8,5
323,1,4,2,0,0,1,0,2,1,1,1,39,6,1,J,3,1,0,0,0,0,0,0,2,1,4,2480,600000,0,79,1,10,8,2348419.25,1781881.75,57272.5,16497.5,15500,43647.5,7970,41247.5,80075,31942.5,41025,1000437.5,249750,196516.75,71516.75,1,4,3.2,2.3,71.6,4
331,1,3,1,0,0,0,1,2,1,1,1,49,6,1,J,2,1,0,0,0,0,0,0,2,2,4,1950,390000,0,84,2,10,8,2352079.667,1600653.333,93768.66667,4265.666667,141236.6667,63333.33333,229519,120440,69922.33333,192527.3333,41941,222222.3333,234883.3333,186594,77002.66667,1,6,5.9,2.6,44.7,6
337,1,1,1,0,0,0,1,1,3,1,2,33,6,1,J,2,1,0,0,0,0,0,0,4,0,4,630,210000,0,63,2,8,6,5498800,3650064,172489,25185,469330,106220,177359,117490,135625,139900,993925,24250,550330,737961,160666,1,2,4.7,27.2,576.2,2
344,1,6,2,0,0,1,0,3,1,1,1,36,6,1,J,2,1,0,0,0,0,0,0,4,1,4,840,280000,0,73,2,8,6,1004034,861759.5,163842.8333,10744.83333,38828.33333,20760.83333,15966,56112.5,78798,15605.5,232645.6667,28729.16667,159278,40448.5,19452.5,1,3,19,27,142,3
365,1,4,2,0,0,1,0,2,1,1,1,46,6,1,J,3,1,0,0,0,0,0,0,2,1,4,1079,370000,0,84,2,8,7,1600818.5,1377354,214132.5,33356.5,44632.5,78291,27011.5,120282.5,224322.5,147864.5,85124.25,136814.5,154105,111416.5,9664.25,1,5,15.5,6.2,39.8,5
390,1,1,1,0,0,0,1,1,3,1,2,24,6,1,J,3,1,0,0,0,0,0,0,1,0,6,385,25000,300,22,2,3,2,1036296,827358,85979,2124,54579,301604,12023,49365,28300,44663,21573,0,158961,68187,51763,1,1,10.4,2.6,25.1,1
409,1,3,2,0,0,1,0,2,1,1,1,37,6,1,J,3,1,0,0,0,0,0,0,2,1,1,1200,0,0,60,1,9,7,1412828,763988,107454,416.6666667,66466.66667,54196.66667,44441.66667,40116.66667,63316.66667,21443,79925,63833.33333,212100,10278,6186.333333,1,3,14.1,10.5,74.4,3
410,1,3,2,0,0,1,0,2,1,1,1,37,6,1,J,3,1,0,0,0,0,0,0,2,1,1,1200,0,0,60,1,10,8,2211437.667,1354774.333,102613.3333,1500,175300,57630,24390,89718.33333,66933.33333,45163.66667,69241.66667,355500,268011.6667,98772.33333,25472.33333,1,3,7.6,5.1,67.5,3
425,1,1,1,0,0,0,1,1,3,1,1,32,6,1,J,2,1,0,0,0,0,0,0,1,0,6,312,3000,300,15,2,5,4,2295126,1311141,184716,0,7920,328832,269885,12800,78040,72410,52806,0,271754,31978,18618,1,2,14.1,4,28.6,2
427,2,1,1,0,0,0,1,1,3,1,1,32,6,1,J,2,5,0,0,0,0,0,0,1,0,6,352,3000,340,20,2,6,5,3514968,2886663,179750,95502,206071,365663,11008,140342,325100,79419,569975,283750,424998,205085,9753,1,2,6.2,19.7,317.1,2
430,1,3,2,0,0,1,0,2,1,1,1,45,6,1,J,2,1,0,0,0,0,0,0,2,2,1,2750,0,0,85,1,10,8,2968504.667,1700286.333,204203.3333,1026.666667,74272,83875,118408.3333,44569.33333,271170,48435.66667,175329.6667,404543,132768.6667,141684.3333,70616,1,5,12,10.3,85.9,5
434,1,3,1,0,0,0,1,2,1,1,1,52,6,1,J,3,1,0,0,0,0,0,0,2,1,1,2450,0,0,85,1,9,8,2144661,1357392,139216,4106.666667,78349.33333,57151.66667,27237.66667,52113.33333,160408.3333,30180,69206.66667,442750,204490,92183,40268.66667,1,6,10.3,5.1,49.7,6
