id,location,grocery,leisure,happy,rank_grocery,rank_leisure,rank_happy
11740,강동구,2431,16,0.66,9,20,18
11710,송파구,2380,29,1.22,11,8,9
11680,강남구,2516,77,3.06,4,4,3
11650,서초구,2276,39,1.71,19,5,5
11620,관악구,3077,15,0.49,3,21,24
11590,동작구,1224,9,0.74,24,25,17
11560,영등포구,3111,19,0.61,2,16,21
11545,금천구,1564,20,1.28,23,15,8
11530,구로구,2312,23,0.99,17,13,14
11500,강서구,2516,16,0.64,5,18,20
11470,양천구,2312,14,0.61,18,22,22
11440,마포구,2380,36,1.51,10,6,6
11410,서대문구,2448,16,0.65,7,19,19
11380,은평구,2380,29,1.22,12,9,10
11350,노원구,2210,20,0.9,22,14,15
11320,도봉구,2448,12,0.49,8,24,25
11305,강북구,2227,19,0.85,21,17,16
11290,성북구,2243,25,1.11,20,12,11
11260,중랑구,2380,13,0.55,14,23,23
11230,동대문구,2312,31,1.34,16,7,7
11215,광진구,2448,26,1.06,6,10,12
11200,성동구,2380,25,1.05,13,11,13
11170,용산구,2312,96,4.15,15,2,2
11140,중구,3621,86,2.38,1,3,4
11110,종로구,1190,165,13.87,25,1,1
